00:00:00.003061 main     VirtualBox COM Server 7.1.6 r167084 win.amd64 (Jan 21 2025 14:13:52) release log
00:00:00.003065 main     Log opened 2026-04-09T10:49:29.766487100Z
00:00:00.003066 main     Build Type: release
00:00:00.003072 main     OS Product: Windows 11
00:00:00.003072 main     OS Release: 10.0.26200
00:00:00.003073 main     OS Service Pack: 
00:00:00.071729 main     DMI Product Name: 83GS
00:00:00.105902 main     DMI Product Version: LOQ 15IAX9
00:00:00.105913 main     Firmware type: UEFI
00:00:00.106662 main     Secure Boot: Disabled
00:00:00.106680 main     Host RAM: 24283MB (23.7GB) total, 13955MB (13.6GB) available
00:00:00.106688 main     Executable: C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe
00:00:00.106689 main     Process ID: 31752
00:00:00.106689 main     Package type: WINDOWS_64BITS_GENERIC
00:00:00.106693 main     Windows Features:
00:00:00.106693 main       Core Isolation (Memory Integrity): ENABLED
00:00:00.228281          VirtualBox: object creation starts
00:00:00.228804          Home directory: 'C:\Users\sanas\.VirtualBox'
00:00:00.229103          Installed Drivers:
00:00:00.254518          Loading settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml" with version "1.14-windows"
00:00:00.257338          usbLibGetDevices: Starting USB device enumeration
00:00:00.261906          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#4&24ff9901&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 8
00:00:00.264908          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#4&24ff9901&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 14
00:00:00.266192          usbLibGetDevices: Found 4 USB devices, 0 captured
00:00:00.266244          USB: Unknown USB device detected (idVendor: 0x048d, idProduct: 0xc996)
00:00:00.266318          USB: Unknown USB device detected (idVendor: 0x8087, idProduct: 0x0026)
00:00:00.419452          HostDnsMonitor: initializing
00:00:00.435710          HostDnsMonitor: updating information
00:00:00.435752          HostDnsMonitor: old information
00:00:00.435753            no server entries
00:00:00.435755            no domain set
00:00:00.435755            no search string entries
00:00:00.435756          HostDnsMonitor: new information
00:00:00.435757            server 1: 8.8.8.8
00:00:00.435758            server 2: 8.8.4.4
00:00:00.435759            no domain set
00:00:00.435759            no search string entries
00:00:00.438781          VD: VDInit finished with VINF_SUCCESS
00:00:00.439638          Platform architecture set to 'x86'
00:00:00.448596          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier2 - DHCP\Ubuntu-DHCP\Ubuntu-DHCP.vbox" with version "1.19-windows"
00:00:00.448823          Platform architecture set to 'x86'
00:00:00.449013          Platform architecture set to 'x86'
00:00:00.458741          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier2 - DHCP\Client-L-DHCP\Client-L-DHCP.vbox" with version "1.19-windows"
00:00:00.458898          Platform architecture set to 'x86'
00:00:00.459066          Platform architecture set to 'x86'
00:00:00.467557          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier2 - DHCP\Client-W-DHCP\Client-W-DHCP.vbox" with version "1.19-windows"
00:00:00.467755          Platform architecture set to 'x86'
00:00:00.467955          Platform architecture set to 'x86'
00:00:00.475972          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\DNS-serveur\DNS-serveur.vbox" with version "1.19-windows"
00:00:00.476125          Platform architecture set to 'x86'
00:00:00.476283          Platform architecture set to 'x86'
00:00:00.484317          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\Client-U-DNS\Client-U-DNS.vbox" with version "1.19-windows"
00:00:00.484483          Platform architecture set to 'x86'
00:00:00.484637          Platform architecture set to 'x86'
00:00:00.492701          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\Client-W-DNS\Client-W-DNS.vbox" with version "1.19-windows"
00:00:00.492904          Platform architecture set to 'x86'
00:00:00.493053          Platform architecture set to 'x86'
00:00:00.502287          Loading settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\TestServerDHCP\TestServerDHCP.vbox" with version "1.19-windows"
00:00:00.502466          Platform architecture set to 'x86'
00:00:00.503296          VirtualBox: object created
00:00:00.617174          Saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml" with version "1.14-windows"
00:00:00.620120          Finished saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml"
00:00:00.620526          Saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml" with version "1.14-windows"
00:00:00.623659          Finished saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml"
00:00:00.624179          Saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml" with version "1.14-windows"
00:00:00.628656          Finished saving settings file "C:\Users\sanas\.VirtualBox\VirtualBox.xml"
00:00:01.348233          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:01.435652          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:03.769960          Launched VM: 1851813104 pid: 5196 (0x144c) frontend: GUI/Qt name: TestServerDHCP
00:00:03.807216          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:03.824542          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:11.250104          Platform architecture set to 'x86'
00:00:11.544325          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:11.559493          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:13.827529          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={70401eef-c8e9-466b-9660-45cb3e9979e4} aComponent={ExtPackManagerWrap} aText={No extension pack by the name 'Oracle VirtualBox Extension Pack' was found}, preserve=false aResultDetail=0
00:00:13.961443          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:28.427343          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:28.452235          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Starting)}, preserve=false aResultDetail=0
00:00:28.485391          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:28.510834          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Starting)}, preserve=false aResultDetail=0
00:00:28.516585          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Starting)}, preserve=false aResultDetail=0
00:00:28.521459          Saving settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\TestServerDHCP\TestServerDHCP.vbox" with version "1.19-windows"
00:00:28.527102          Finished saving settings file "C:\Users\sanas\VirtualBox VMs\Atelier3 - DNS\TestServerDHCP\TestServerDHCP.vbox"
00:00:28.561289          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:28.568516          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Starting)}, preserve=false aResultDetail=0
00:00:30.714056          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
